benchmark,time,ext
namd,24.78345,randomized
namd,24.806199,randomized
namd,24.769322,randomized
namd,24.80627,randomized
namd,24.83323,randomized
namd,24.78564,randomized
perlbench,82.40524,randomized
perlbench,81.874382,randomized
perlbench,81.148665,randomized
perlbench,81.576302,randomized
perlbench,82.104827,randomized
perlbench,81.061131,randomized
perlbench,82.146277,randomized
perlbench,80.950825,randomized
perlbench,82.385751,randomized
perlbench,82.162543,randomized
perlbench,82.074929,randomized
perlbench,81.974518,randomized
perlbench,81.607323,randomized
perlbench,81.8156,randomized
perlbench,82.043271,randomized
perlbench,82.020313,randomized
perlbench,81.877316,randomized
perlbench,82.792142,randomized
perlbench,81.035746,randomized
perlbench,81.682651,randomized
perlbench,81.635229,randomized
perlbench,80.710246,randomized
perlbench,81.964395,randomized
perlbench,81.872665,randomized
perlbench,81.847859,randomized
sjeng,361.100962,randomized
sjeng,359.399505,randomized
sjeng,360.397157,randomized
sjeng,357.812061,randomized
sjeng,365.677092,randomized
sjeng,367.533594,randomized
sjeng,363.214056,randomized
sjeng,357.049725,randomized
sjeng,362.878569,randomized
sjeng,363.542518,randomized
sjeng,366.987829,randomized
sjeng,360.822155,randomized
sjeng,357.337141,randomized
sjeng,360.408261,randomized
sjeng,358.18417,randomized
sjeng,361.692715,randomized
sjeng,366.220564,randomized
sjeng,364.590776,randomized
sjeng,362.060651,randomized
sjeng,363.560991,randomized
sjeng,358.824754,randomized
sjeng,359.82572,randomized
sjeng,360.43044,randomized
sjeng,366.836258,randomized
sjeng,361.429383,randomized
sjeng,363.446688,randomized
sjeng,359.98773,randomized
sjeng,357.046488,randomized
sjeng,360.258215,randomized
sjeng,388.996657,randomized
sphinx3,19.531048,randomized
sphinx3,19.550571,randomized
sphinx3,19.52242,randomized
sphinx3,19.456597,randomized
sphinx3,19.474045,randomized
sphinx3,19.348273,randomized
sphinx3,19.368789,randomized
sphinx3,19.561034,randomized
sphinx3,19.523387,randomized
sphinx3,19.493231,randomized
sphinx3,19.631838,randomized
sphinx3,19.602925,randomized
sphinx3,19.619816,randomized
sphinx3,19.57016,randomized
sphinx3,19.675965,randomized
sphinx3,19.685347,randomized
sphinx3,19.635642,randomized
sphinx3,19.573673,randomized
sphinx3,19.646962,randomized
sphinx3,19.606238,randomized
sphinx3,19.442244,randomized
sphinx3,19.545326,randomized
sphinx3,19.670169,randomized
sphinx3,19.468335,randomized
sphinx3,19.451132,randomized
sphinx3,19.455312,randomized
sphinx3,19.491942,randomized
sphinx3,19.512635,randomized
sphinx3,19.509221,randomized
sphinx3,19.516223,randomized
wrf,172.594326,randomized
wrf,172.543673,randomized
wrf,172.272553,randomized
wrf,174.923607,randomized
wrf,172.496897,randomized
wrf,172.677265,randomized
wrf,172.463025,randomized
wrf,172.34565,randomized
