benchmark, time, tune
milc, 25.405624, O3
milc, 25.425676, O3
milc, 25.376853, O3
milc, 25.455546, O3
milc, 25.340141, O3
milc, 25.364213, O3
milc, 25.390631, O3
milc, 25.301645, O3
milc, 25.405596, O3
milc, 25.421929, O3
namd, 25.149982, O3
namd, 25.10383, O3
namd, 25.100973, O3
namd, 25.063088, O3
namd, 25.029204, O3
namd, 25.026116, O3
namd, 25.150876, O3
namd, 25.054614, O3
namd, 25.121703, O3
namd, 25.114675, O3
namd, 25.114278, O3
namd, 25.025355, O3
namd, 25.082692, O3
namd, 25.092358, O3
namd, 25.20335, O3
namd, 25.073204, O3
namd, 25.088411, O3
namd, 25.050913, O3
namd, 25.053278, O3
namd, 25.095584, O3
namd, 25.180478, O3
namd, 25.04154, O3
namd, 25.088612, O3
namd, 25.024507, O3
namd, 25.071098, O3
namd, 25.103337, O3
namd, 25.027423, O3
namd, 25.050673, O3
namd, 25.052967, O3
namd, 25.131934, O3
perlbench, 85.011775, O3
perlbench, 84.882361, O3
perlbench, 84.761079, O3
perlbench, 84.670218, O3
perlbench, 84.965625, O3
perlbench, 84.949879, O3
perlbench, 84.685414, O3
perlbench, 84.90436, O3
perlbench, 84.667459, O3
perlbench, 84.852761, O3
perlbench, 85.150709, O3
perlbench, 85.041112, O3
perlbench, 84.788301, O3
perlbench, 85.02186, O3
perlbench, 84.654667, O3
perlbench, 84.943921, O3
perlbench, 84.773038, O3
perlbench, 85.061818, O3
perlbench, 84.470299, O3
perlbench, 84.430844, O3
perlbench, 84.956476, O3
perlbench, 84.688506, O3
perlbench, 84.257301, O3
perlbench, 84.454091, O3
perlbench, 84.744417, O3
perlbench, 84.545445, O3
perlbench, 85.021296, O3
perlbench, 84.94592, O3
perlbench, 85.065678, O3
perlbench, 84.457823, O3
sjeng, 353.254668, O3
sjeng, 353.737706, O3
sjeng, 352.906787, O3
sjeng, 352.568618, O3
sjeng, 353.47313, O3
sjeng, 353.489072, O3
sjeng, 353.444353, O3
sjeng, 352.823694, O3
sjeng, 353.242685, O3
sjeng, 353.23296, O3
sjeng, 352.587626, O3
sjeng, 353.345989, O3
sjeng, 353.576576, O3
sjeng, 353.078371, O3
sjeng, 353.400922, O3
sjeng, 353.713484, O3
sjeng, 353.176259, O3
sjeng, 352.721981, O3
sjeng, 353.03101, O3
sjeng, 352.168799, O3
sjeng, 353.36189, O3
sjeng, 353.059442, O3
sjeng, 353.03736, O3
sjeng, 352.983243, O3
sjeng, 353.838342, O3
sjeng, 354.223518, O3
sjeng, 354.879805, O3
sjeng, 354.103545, O3
sjeng, 353.117155, O3
sjeng, 354.107556, O3
sphinx3, 19.666831, O3
sphinx3, 19.764759, O3
sphinx3, 19.695437, O3
sphinx3, 19.728084, O3
sphinx3, 19.770732, O3
sphinx3, 19.819353, O3
sphinx3, 19.773208, O3
sphinx3, 19.867439, O3
sphinx3, 19.787943, O3
sphinx3, 19.70388, O3
sphinx3, 19.925512, O3
sphinx3, 19.79023, O3
sphinx3, 19.855224, O3
sphinx3, 19.854727, O3
sphinx3, 19.624116, O3
sphinx3, 19.747205, O3
sphinx3, 19.766223, O3
sphinx3, 19.777644, O3
sphinx3, 19.780451, O3
sphinx3, 19.870978, O3
sphinx3, 19.622488, O3
sphinx3, 19.647601, O3
sphinx3, 19.645044, O3
sphinx3, 19.768809, O3
sphinx3, 19.774258, O3
sphinx3, 19.714943, O3
sphinx3, 19.666752, O3
sphinx3, 19.654295, O3
sphinx3, 19.790928, O3
sphinx3, 19.706514, O3
wrf, 174.954228, O3
wrf, 175.076399, O3
wrf, 174.86647, O3
wrf, 175.005965, O3
wrf, 174.969312, O3
wrf, 174.998578, O3
wrf, 175.153425, O3
wrf, 174.855201, O3
wrf, 174.924324, O3
wrf, 175.338799, O3
wrf, 174.824324, O3
wrf, 175.513023, O3
wrf, 175.307735, O3
wrf, 175.475661, O3
wrf, 174.856385, O3
wrf, 175.100024, O3
wrf, 175.059723, O3
wrf, 174.973233, O3
wrf, 174.948948, O3
wrf, 175.044385, O3
wrf, 175.460851, O3
wrf, 175.76769, O3
wrf, 175.014943, O3
wrf, 175.100335, O3
wrf, 175.073972, O3
wrf, 175.110156, O3
wrf, 175.243792, O3
wrf, 174.89296, O3
wrf, 175.068876, O3
wrf, 175.245147, O3
zeusmp, 71.396222, O3
zeusmp, 71.286857, O3
zeusmp, 71.526693, O3
